epoch,learning_rate,loss,mae,val_loss,val_mae
0,0.0010000000474974513,0.08096245676279068,0.2430901974439621,0.08545536547899246,0.24963904917240143
1,0.0010000000474974513,0.07526609301567078,0.232809916138649,0.08578000217676163,0.24936412274837494
2,0.0010000000474974513,0.06979367136955261,0.22181563079357147,0.08315907418727875,0.24173279106616974
3,0.0010000000474974513,0.06508255749940872,0.21183377504348755,0.10824831575155258,0.26736605167388916
4,0.0010000000474974513,0.06139593571424484,0.20427031815052032,0.07679799944162369,0.23036937415599823
5,0.0010000000474974513,0.05811954289674759,0.1968836933374405,0.0808163657784462,0.23508048057556152
6,0.0010000000474974513,0.0550614595413208,0.1906033754348755,0.07540666311979294,0.2263166904449463
7,0.0010000000474974513,0.052956707775592804,0.18572138249874115,0.06665248423814774,0.2135896235704422
8,0.0010000000474974513,0.05155923590064049,0.1828245371580124,0.08901737630367279,0.2418764978647232
9,0.0010000000474974513,0.0499977208673954,0.1794685423374176,0.07123858481645584,0.22021012008190155
10,0.0010000000474974513,0.04848664999008179,0.17595891654491425,0.07551540434360504,0.22210969030857086
11,0.0010000000474974513,0.04681767150759697,0.17247125506401062,0.0655878409743309,0.20832708477973938
12,0.0010000000474974513,0.04508090391755104,0.16814905405044556,0.06594991683959961,0.20910172164440155
13,0.0010000000474974513,0.04457571730017662,0.166887104511261,0.06204859912395477,0.2036835253238678
14,0.0010000000474974513,0.04315438121557236,0.16375066339969635,0.06088269501924515,0.20146705210208893
15,0.0010000000474974513,0.04211118444800377,0.16151578724384308,0.061192601919174194,0.20045779645442963
16,0.0010000000474974513,0.042031291872262955,0.1610126942396164,0.06539979577064514,0.20673462748527527
17,0.0010000000474974513,0.040612854063510895,0.1579357236623764,0.0650627464056015,0.20576457679271698
18,0.0010000000474974513,0.03984371945261955,0.15605533123016357,0.07394266128540039,0.2188870906829834
19,0.0010000000474974513,0.039194270968437195,0.15424692630767822,0.07121969759464264,0.21774305403232574
20,0.0005000000237487257,0.03672605752944946,0.1489063799381256,0.05728687345981598,0.19034996628761292
21,0.0005000000237487257,0.036110635846853256,0.14730961620807648,0.06284590810537338,0.19972379505634308
22,0.0005000000237487257,0.035276614129543304,0.1453913301229477,0.0681261196732521,0.21029049158096313
23,0.0005000000237487257,0.03470161557197571,0.14398904144763947,0.05892081931233406,0.19269511103630066
24,0.0005000000237487257,0.03448013961315155,0.1435597538948059,0.05627523735165596,0.18757474422454834
25,0.0005000000237487257,0.033801767975091934,0.14172573387622833,0.062023572623729706,0.19936828315258026
26,0.0005000000237487257,0.03335064649581909,0.140579491853714,0.06123849377036095,0.1954392045736313
27,0.0005000000237487257,0.03304421529173851,0.1398884356021881,0.05907830223441124,0.19347889721393585
28,0.0005000000237487257,0.032495904713869095,0.13836397230625153,0.05701013281941414,0.18844252824783325
29,0.0005000000237487257,0.03236135095357895,0.13815635442733765,0.06265415251255035,0.19763615727424622
30,0.0002500000118743628,0.030719861388206482,0.13432735204696655,0.05678277090191841,0.18879099190235138
